# Bopomofo
1345-346-2	310B-3127-311D-02CA
1345-346-5	310B-3127-311D-02CB
1345-246-4	310B-3127-3120-02C7
1345-246-5	310B-3127-3120-02CB
1345-234-3	310B-3127-3121-0020
1345-234-4	310B-3127-3121-02C7
1345-234-5	310B-3127-3121-02CB
1345-2345-4	310B-3127-3122-02C7
1345-2345-2	310B-3127-3122-02CA
1345-2345-5	310B-3127-3122-02CB
1345-1456-4	310B-3127-3123-02C7
1345-1456-2	310B-3127-3123-02CA
1345-46-2	310B-3127-3124-02CA
1345-46-5	310B-3127-3124-02CB
1345-46-1	310B-3127-3124-02D9
1345-13456-4	310B-3127-3125-02C7
1345-13456-2	310B-3127-3125-02CA
1345-13456-5	310B-3127-3125-02CB
1345-34-4	310B-3128-02C7
1345-34-2	310B-3128-02CA
1345-34-5	310B-3128-02CB
1345-25-4	310B-3128-311B-02C7
1345-25-2	310B-3128-311B-02CA
1345-25-5	310B-3128-311B-02CB
1345-12456-4	310B-3128-3122-02C7
1345-12346-4	310B-3128-3125-02C7
1345-12346-2	310B-3128-3125-02CA
1345-12346-5	310B-3128-3125-02CB
1345-1256-4	310B-3129-02C7
1345-1256-5	310B-3129-02CB
1345-236-5	310B-3129-311D-02CB
14-345-3	310C-311A-0020
14-345-4	310C-311A-02C7
14-345-2	310C-311A-02CA
14-345-5	310C-311A-02CB
14-345-1	310C-311A-02D9
14-2346-3	310C-311C-0020
14-2346-5	310C-311C-02CB
14-2346-1	310C-311C-02D9
14-2456-2	310C-311E-02CA
14-2456-5	310C-311E-02CB
14-356-3	310C-311F-0020
14-356-4	310C-311F-02C7
14-356-2	310C-311F-02CA
14-356-5	310C-311F-02CB
14-356-1	310C-311F-02D9
14-146-3	310C-3120-0020
14-146-4	310C-3120-02C7
14-146-2	310C-3120-02CA
14-146-5	310C-3120-02CB
14-12356-3	310C-3121-0020
14-12356-4	310C-3121-02C7
14-12356-2	310C-3121-02CA
14-12356-5	310C-3121-02CB
14-1236-3	310C-3122-0020
14-1236-4	310C-3122-02C7
14-1236-2	310C-3122-02CA
14-1236-5	310C-3122-02CB
14-1346-3	310C-3124-0020
14-1346-4	310C-3124-02C7
14-1346-2	310C-3124-02CA
14-1346-5	310C-3124-02CB
14-1356-4	310C-3125-02C7
14-1356-2	310C-3125-02CA
14-1356-5	310C-3125-02CB
14-16-3	310C-3127-0020
14-16-4	310C-3127-02C7
14-16-2	310C-3127-02CA
14-16-5	310C-3127-02CB
14-16-1	310C-3127-02D9
14-23456-4	310C-3127-311A-02C7
14-346-3	310C-3127-311D-0020
14-346-4	310C-3127-311D-02C7
14-346-5	310C-3127-311D-02CB
14-346-1	310C-3127-311D-02D9
